iata, name
ABZ,ABERDEEN
ACI,ALDERNEY
ADX,LEUCHARS
BBP,BEMBRIDGE
BBS,BLACKBUSHE
BEB,BENBECULA
BEQ,HONINGTON
BFS,BELFAST INTERNATIONAL
BHD,BELFAST CITY (GEORGE BEST)
BHX,BIRMINGHAM
BLK,BLACKPOOL
BOH,BOURNEMOUTH
BQH,BIGGIN HILL
BRR,BARRA
BRS,BRISTOL
BWF,WALNEY ISLAND
BZZ,BRIZE NORTON
CAL,CAMPBELTOWN
CAX,CARLISLE
CBG,CAMBRIDGE
CEG,HAWARDEN
COL,COLL
CSA,COLONSAY
CVT,COVENTRY
CWL,CARDIFF WALES
DND,DUNDEE
DSA,DONCASTER SHEFFIELD
EDI,EDINBURGH
EMA,EAST MIDLANDS INTERNATIONAL
ENK,ST ANGELO
EOI,EDAY
ESH,SHOREHAM
EXT,EXETER
FAB,FARNBOROUGH
FFD,FAIRFORD
FIE,FAIR ISLE
FOA,FOULA
FWM,FORT WILLIAM HELIPORT
FZO,BRISTOL FILTON
GBA,COTSWOLD APT - KEMBLE
GCI,GUERNSEY
GLA,GLASGOW
GLO,GLOUCESTERSHIRE
HEN,HERNESAARI HELIPORT
HLY,ANGLESEY
HRT,HURLBURT FLD
HTF,HATFIELD
HUY,HUMBERSIDE
ILY,ISLAY
INV,INVERNESS
IOM,ISLE OF MAN
ISC,ISLES OF SCILLY (ST.MARYS)
JER,JERSEY
KNF,MARHAM(KINGS LYNN)
KOI,KIRKWALL
KRH,REDHILL AERODROME
LBA,LEEDS BRADFORD
LCY,LONDON CITY
LDY,CITY OF DERRY (EGLINTON)
LEQ,LANDS END (ST JUST)
LGW,GATWICK
LHR,HEATHROW
LMO,LOSSIEMOUTH
LPL,LIVERPOOL (JOHN LENNON)
LSI,SUMBURGH
LTN,LUTON
LWK,LERWICK (TINGWALL)
LYE,LYNEHAM
LYM,ASHFORD
LYX,LYDD
MAN,MANCHESTER
MHZ,MILDENHALL
MME,DURHAM TEES VALLEY AIRPORT
,TEESSIDE INTERNATIONAL AIRPORT
MSE,MANSTON
NCL,NEWCASTLE
NDY,SANDAY
NHT,NORTHOLT
NQT,NOTTINGHAM AIRPORT
,TOLLERTON NOTTINGHAM
NQY,NEWQUAY
NRL,NORTH RONALDSAY
NWI,NORWICH
OBN,OBAN (NORTH CONNEL)
ODH,ODIHAM
OUK,OUTER SKERRIES AIRPORT
OXF,OXFORD (KIDLINGTON)
PIK,PRESTWICK
PLH,PLYMOUTH
PME,PORTSMOUTH AIRPORT
PPW,PAPA WESTRAY
PSL,PERTH (UK)
PSV,PAPA STOUR
PZE,PENZANCE HELIPORT
QCY,CONINGSBY
QFO,DUXFORD AERODROME
QLA,LASHAM
RCS,ROCHESTER AIRPORT
SCS,SCATSTA AIRPORT
SDZ,SCATSTA
SEN,SOUTHEND
SOU,SOUTHAMPTON
SOY,STRONSAY
STN,STANSTED
SWS,SWANSEA
SYY,STORNOWAY
TRE,TIREE
TSO,TRESCO HELIPORT
UNT,UNST AIRPORT
WHS,WHALSAY
WIC,WICK JOHN O GROATS
WRT,WARTON
WRY,WESTRAY
WTN,WADDINGTON
YEO,YEOVILTON
VLY,ANGLESEY (VALLEY)
