IATA,Airport,Passenger,Latitude,Longitude,PCS £,PCS Total £,Landing Cost Per mt,Q400 Landing Total,ATR Landing Total,Security £,Security Total £,Tickets £,Handling £,Air Navigation,Total Aircraft Charge,Source
ABZ,Aberdeen Airport,Yes,57.201900,-2.197780,12.89,"1,005.42",5.84,168.78,134.32,,0.00,,,247.01,"1,421.21",https://www.aberdeenairport.com/about-us/doing-business-with-us/conditions-of-use/
ACI,Alderney Airport,Yes,49.706104,-2.214720,3.78,294.84,11.89,343.62,273.47,2.30,179.40,,,,,https://www.airport.gg/sites/default/files/uploads/Alderney%20Airport%20Fees%20and%20Charges%202019%20V1.pdf
BBP,Bembridge Airport,No,50.678101,-1.109440,£8.00p/night,#VALUE!,,5.00,,,0.00,N/A,12.00,,,https://eghj.extremelynice.net/eghj/welcome/15-2/
BBS,Blackbushe Airport ,No,51.323898,-0.847500,18.00,"1,404.00",,12.00,,,0.00,N/A,60.00,,,https://www.blackbusheairport.co.uk/charges
ADX,Leuchars Airport(RAF),,56.372898,-2.868440,,0.00,,,,,0.00,,,,0.00,
BEB,Benbecula,Yes,57.481098,-7.362780,17.46,"1,361.88",11.90,343.91,273.70,7.56,589.68,,,,"1,713.35",http://www.hial.co.uk/wp-content/uploads/2017/04/HIAL-Conditions-of-Use-and-Airport-Charges-1-April-2017.pdf
BEQ,Honington Airport(RAF),,52.342602,0.772939,,0.00,,,,0.00,0.00,,,,0.00,
BFS,Belfast International Airport,Yes,54.657501,-6.215830,13.77,"1,074.06",10.10,291.89,232.30,0.51,39.78,,21.96,,"1,388.42",https://www.belfastairport.com/media/4327/terms-and-conditions-2018.pdf
BHD,Belfast City,Yes,54.618099,-5.872500,16.15,"1,259.70",32.30,933.47,742.90,6.35,495.30," $940 and $1,236",,,"2,199.52",https://www.belfastcityairport.com/BCA/files/35/35688fbb-9155-4efb-a0be-19df95d8ac9c.doc
BHX,Birmingham Airport,Yes,52.453899,-1.748030,13.93,"1,086.54",12.62,364.72,290.26,0.06,4.84,,30.42,122.54,"1,604.28",https://www.birminghamairport.co.uk/media/6267/fees-and-charges-2021.pdf
BLK,Blackpool Airport,Yes,53.771702,-3.028610,13.60,"1,060.80",20.50,592.45,471.50,,0.00,,,,"1,653.25",https://blackpoolairport.com/Fees-Charges-Payment
BOH,Bournemouth Airport,Yes,50.779999,-1.842500,16.97,"1,323.66",25.66,741.57,590.18,8.54,666.12,,,196.46,"2,270.23",https://www.bournemouthairport.com/content/uploads/Fees-Charges-2019-2020.pdf
